Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
56,4.52861e-05,1.49869e-05,2.46421e-05,1.25395e-05,4.05639e-05,1.21893e-05,1.14039e-05
57,4.82086e-05,1.52674e-05,2.36526e-05,1.26251e-05,4.66158e-05,1.18915e-05,1.06061e-05
58,4.8388e-05,1.50249e-05,2.27368e-05,1.09354e-05,5.36979e-05,1.07812e-05,1.12713e-05
59,3.97308e-05,1.78312e-05,2.75105e-05,1.44768e-05,6.20494e-05,1.107e-05,1.41882e-05
60,6.57563e-05,2.24352e-05,3.26695e-05,1.31521e-05,3.8794e-05,9.6303e-06,1.28482e-05
61,6.50736e-05,1.80358e-05,2.74467e-05,1.50698e-05,4.49469e-05,1.29219e-05,1.49274e-05
62,4.48416e-05,1.33112e-05,2.70393e-05,1.29152e-05,3.72039e-05,9.37856e-06,8.04602e-06
63,6.13261e-05,1.75464e-05,2.72928e-05,1.37415e-05,4.56765e-05,1.30592e-05,1.27175e-05
64,5.81273e-05,1.87818e-05,2.72332e-05,1.40629e-05,4.46135e-05,1.12633e-05,9.88571e-06
65,4.58196e-05,1.5408e-05,2.37706e-05,9.93643e-06,3.03965e-05,8.63472e-06,7.87646e-06
66,3.62951e-05,9.98878e-06,1.54181e-05,7.43518e-06,2.39739e-05,6.38004e-06,6.01611e-06
67,2.85123e-05,9.40267e-06,1.5102e-05,6.84859e-06,2.28172e-05,6.19845e-06,5.37379e-06
68,2.78807e-05,9.44602e-06,1.49326e-05,6.79657e-06,2.27666e-05,6.16703e-06,5.38031e-06
69,2.9764e-05,9.77155e-06,1.55455e-05,7.10434e-06,2.31874e-05,6.308e-06,5.74925e-06
70,2.94275e-05,9.85054e-06,1.59689e-05,6.99965e-06,2.40179e-05,6.21132e-06,5.28429e-06
71,3.60011e-05,1.68775e-05,1.96943e-05,8.9787e-06,3.99863e-05,1.09955e-05,1.24416e-05
72,2.6294e-05,8.25436e-06,1.61544e-05,7.25647e-06,2.11828e-05,5.31323e-06,5.7091e-06
73,2.61648e-05,8.85254e-06,1.77037e-05,8.1852e-06,2.31991e-05,5.61966e-06,5.46476e-06
74,3.75853e-05,1.27694e-05,2.04227e-05,1.09242e-05,2.80534e-05,7.49778e-06,8.86298e-06
75,7.18667e-05,2.84992e-05,4.29743e-05,1.87824e-05,5.91669e-05,1.53558e-05,1.57575e-05
76,7.8333e-05,2.28347e-05,3.25772e-05,1.87121e-05,5.66475e-05,1.56701e-05,1.68529e-05
77,7.5701e-05,2.49778e-05,4.03924e-05,1.43556e-05,3.68886e-05,9.79652e-06,9.53653e-06
