Dim,Bubblesort,Insertionsort,Selectionsort,Standardsort,Mergesort,Quicksort,QuickOttimo
57,9.04607e-06,1.24096e-06,3.06672e-06,1.29739e-06,3.62652e-06,1.56868e-06,1.24891e-06
58,9.86288e-06,1.09777e-06,4.88258e-06,1.52841e-06,5.37829e-06,1.98379e-06,1.56233e-06
59,1.57689e-05,1.5754e-06,7.71528e-06,1.69807e-06,6.9141e-06,2.33868e-06,3.24012e-06
60,1.66195e-05,1.7669e-06,4.20848e-06,1.77895e-06,5.90226e-06,2.10287e-06,1.55512e-06
61,1.19586e-05,1.40098e-06,3.82034e-06,1.86606e-06,5.75131e-06,2.18387e-06,1.9399e-06
62,1.26589e-05,1.26469e-06,3.33573e-06,2.02083e-06,6.91388e-06,2.40709e-06,2.19539e-06
63,1.47771e-05,2.01174e-06,4.52413e-06,1.92856e-06,6.22658e-06,2.29348e-06,1.87362e-06
64,2.25381e-05,1.85772e-06,4.63912e-06,2.2049e-06,6.28505e-06,2.39769e-06,2.19134e-06
65,1.60349e-05,1.34677e-06,3.52132e-06,1.60978e-06,4.58931e-06,1.88642e-06,1.77616e-06
66,1.29185e-05,1.26108e-06,4.00637e-06,1.67216e-06,5.30509e-06,2.11108e-06,1.90959e-06
67,1.35994e-05,1.32051e-06,3.61216e-06,1.70183e-06,4.51117e-06,2.60531e-06,1.62057e-06
68,1.46421e-05,1.29669e-06,3.59765e-06,1.68321e-06,4.41117e-06,2.05795e-06,1.73774e-06
69,1.6062e-05,1.81267e-06,4.37462e-06,1.77123e-06,4.90208e-06,1.95751e-06,1.65313e-06
70,1.39373e-05,2.41295e-06,6.29328e-06,2.2035e-06,6.35979e-06,2.26786e-06,2.06358e-06
71,1.81344e-05,2.08969e-06,6.45866e-06,2.8913e-06,8.29352e-06,3.07084e-06,2.59524e-06
72,1.64222e-05,1.62251e-06,4.92162e-06,2.25161e-06,6.37512e-06,3.07741e-06,2.1868e-06
73,1.92202e-05,2.25857e-06,5.71418e-06,2.66142e-06,7.93707e-06,2.39855e-06,2.19197e-06
74,1.73862e-05,1.56156e-06,4.04934e-06,4.0315e-06,5.97297e-06,2.37314e-06,1.88194e-06
75,1.61905e-05,1.59652e-06,4.49092e-06,1.98792e-06,5.64604e-06,2.31651e-06,2.01196e-06
76,1.7278e-05,1.6386e-06,4.55087e-06,2.02471e-06,5.662e-06,2.13801e-06,1.91139e-06
